host_since,neighbourhood,city,accommodates,price
15/09/2012,Enclos-St-Laurent,Paris,2,60
13/07/2013,Buttes-Chaumont,Paris,2,50
22/09/2013,Temple,Paris,2,70
11/06/2014,Buttes-Montmartre,Paris,2,135
17/06/2014,Reuilly,Paris,2,78
27/08/2013,Bourse,Paris,2,350
18/07/2014,Elysee,Paris,2,110
25/02/2015,Temple,Paris,2,85
05/11/2012,Buttes-Montmartre,Paris,2,65
15/03/2015,Vaugirard,Paris,2,79
09/01/2012,Batignolles-Monceau,Paris,2,50
30/03/2015,Popincourt,Paris,2,80
15/11/2013,Buttes-Montmartre,Paris,2,65
29/05/2013,Batignolles-Monceau,Paris,2,54
24/05/2015,Buttes-Montmartre,Paris,2,53
25/06/2013,Reuilly,Paris,2,120
10/06/2015,Reuilly,Paris,2,95
15/10/2012,Opera,Paris,2,60
10/03/2015,Reuilly,Paris,2,70
10/04/2012,Buttes-Chaumont,Paris,2,35
03/02/2013,Popincourt,Paris,2,71
17/07/2015,Pantheon,Paris,2,81
14/11/2012,Vaugirard,Paris,2,128
01/12/2014,Buttes-Montmartre,Paris,2,50
25/07/2012,Menilmontant,Paris,2,70
05/10/2014,Hotel-de-Ville,Paris,2,100
04/10/2014,Opera,Paris,2,70
23/04/2014,Popincourt,Paris,2,89
13/06/2015,Gobelins,Paris,2,45
01/05/2014,Buttes-Montmartre,Paris,2,50
12/07/2013,Observatoire,Paris,2,38
08/08/2011,Bourse,Paris,2,65
24/03/2016,Hotel-de-Ville,Paris,2,120
13/01/2014,Enclos-St-Laurent,Paris,2,140
06/09/2014,Popincourt,Paris,2,67
03/05/2016,Buttes-Chaumont,Paris,2,37
29/07/2015,Popincourt,Paris,2,55
20/10/2013,Popincourt,Paris,2,80
04/08/2015,Palais-Bourbon,Paris,2,70
23/06/2016,Luxembourg,Paris,2,45
19/08/2015,Pantheon,Paris,2,80
05/07/2016,Opera,Paris,2,105
12/06/2012,Temple,Paris,2,80
02/05/2014,Popincourt,Paris,2,55
11/06/2016,Buttes-Montmartre,Paris,2,107
22/04/2013,Buttes-Montmartre,Paris,2,60
27/02/2015,Observatoire,Paris,2,50
17/04/2015,Popincourt,Paris,2,75
31/12/2015,Popincourt,Paris,2,55
01/10/2013,Reuilly,Paris,2,160
20/07/2014,Popincourt,Paris,2,55
18/07/2014,Buttes-Chaumont,Paris,2,43
08/04/2017,Batignolles-Monceau,Paris,2,34
27/04/2017,Vaugirard,Paris,2,90
23/07/2014,Opera,Paris,2,79
21/10/2014,Buttes-Montmartre,Paris,2,80
05/07/2017,Popincourt,Paris,2,120
14/06/2016,Popincourt,Paris,2,80
14/11/2013,Batignolles-Monceau,Paris,2,120
02/03/2015,Buttes-Montmartre,Paris,2,120
14/08/2013,Temple,Paris,2,92
18/06/2015,Hotel-de-Ville,Paris,2,50
20/02/2014,Opera,Paris,2,100
21/10/2013,Batignolles-Monceau,Paris,2,85
11/07/2014,Observatoire,Paris,2,65
21/09/2013,Luxembourg,Paris,2,73
21/11/2017,Menilmontant,Paris,2,25
26/08/2013,Vaugirard,Paris,2,95
08/04/2014,Passy,Paris,2,44
17/10/2013,Batignolles-Monceau,Paris,2,100
22/06/2014,Buttes-Montmartre,Paris,2,70
02/02/2014,Vaugirard,Paris,2,160
20/08/2013,Louvre,Paris,2,120
11/01/2017,Buttes-Chaumont,Paris,2,90
01/05/2016,Buttes-Montmartre,Paris,2,55
21/06/2016,Popincourt,Paris,2,44
04/12/2015,Vaugirard,Paris,2,80
07/11/2014,Buttes-Montmartre,Paris,2,45
11/11/2013,Popincourt,Paris,2,90
22/06/2016,Palais-Bourbon,Paris,2,180
08/11/2013,Popincourt,Paris,2,75
15/04/2015,Buttes-Chaumont,Paris,2,36
10/11/2014,Temple,Paris,2,150
06/09/2010,Popincourt,Paris,2,75
06/08/2018,Reuilly,Paris,2,59
02/03/2013,Enclos-St-Laurent,Paris,2,69
29/05/2014,Popincourt,Paris,2,106
03/02/2014,Menilmontant,Paris,2,80
20/08/2014,Temple,Paris,2,92
14/09/2018,Opera,Paris,2,159
25/06/2014,Buttes-Montmartre,Paris,2,100
14/03/2018,Bourse,Paris,2,170
10/06/2012,Palais-Bourbon,Paris,2,130
28/11/2018,Opera,Paris,2,80
18/10/2015,Passy,Paris,2,85
04/07/2014,Passy,Paris,2,90
05/06/2016,Popincourt,Paris,2,60
05/03/2019,Buttes-Chaumont,Paris,2,80
10/02/2015,Buttes-Chaumont,Paris,2,67
20/05/2013,Buttes-Chaumont,Paris,2,90
01/05/2013,Menilmontant,Paris,2,79
10/10/2014,Batignolles-Monceau,Paris,2,153
29/03/2017,Popincourt,Paris,2,85
11/07/2014,Buttes-Montmartre,Paris,2,119
16/05/2019,Passy,Paris,2,130
